Job Title,Salary Estimate,Rating,Company Name,Location,Size,Founded,Type of ownership,Industry,Sector,Revenue
Data Science and Visualization Specialist - Product Design,An appreciation of functional design or interested in developing your design aesthetic. The DataViz team enables data-driven decision making,4.2,Apple,"Boulder, CO",4.2,,,,,
Data Scientist,USD 80K - USD 110K,3.9,"Amplify Education, Inc.",Remote,201 to 500 Employees,2000,Company - Private,Primary & Secondary Schools,Education,$100 to $500 million (USD)
Data Analyst - 1776302,USD 93K - USD 133K ,4.2,HP,"Los Angeles, CA",10000+ Employees,1939,Company - Public,Computer Hardware Development,Information Technology,Unknown / Non-Applicable
Junior Consultant in Strategy & Data Science - New York - May 2024,USD 75K,4.1,Ekimetrics,United States,51 to 200 Employees,2006,Company - Private,Advertising & Public Relations,Media & Communication,$25 to $100 million (USD)
Junior Data Analyst,USD 53K - USD 80K ,2.8,Century Cabinets,"Alpharetta, GA",1 to 50 Employees,--,Company - Private,Consumer Product Manufacturing,Manufacturing,Less than $1 million (USD)
Fellowship - Clinical Data Science and Evidence,USD 101K - USD 158K ,4.3,Novo Nordisk,"Plainsboro, NJ",10000+ Employees,1923,Company - Public,Biotech & Pharmaceuticals,Pharmaceutical & Biotechnology,$10+ billion (USD)
Data Scientist - Generative AI,USD 78K - USD 123K ,,Online Commerce Group (OCG),"Montgomery, AL",Unknown,--,Company - Private,Consumer Product Manufacturing,Manufacturing,Unknown / Non-Applicable
People Analytics - Data Science & Reporting Analyst,USD 115K - USD 175K,4.4,"D. E. Shaw & Co., L.P.","New York, NY",1001 to 5000 Employees,1988,Company - Private,Investment & Asset Management,Financial Services,Unknown / Non-Applicable
Data Analyst,USD 73K - USD 145K,3.8,Abbott Laboratories,"Columbus, OH",10000+ Employees,1888,Company - Public,Health Care Services & Hospitals,Healthcare,$10+ billion (USD)
Data Science Engineer,USD 96K - USD 133K ,3.7,Micron,"Manassas, VA",10000+ Employees,1978,Company - Public,Computer Hardware Development,Information Technology,$10+ billion (USD)
"Scientist, Data Science - Hybrid",USD 72K - USD 124K ,3.5,XPO,"Boston, MA",10000+ Employees,2011,Company - Public,Shipping & Trucking,Transportation & Logistics,$5 to $10 billion (USD)
Data Analyst (Contractor),USD 40.00 - USD 60.00 Per Hour,4.2,Arine,Remote,1 to 50 Employees,2017,Company - Private,Health Care Services & Hospitals,Healthcare,Unknown / Non-Applicable
Data Analyst (May 2024 Graduates),USD 66K - USD 87K,4.1,Gartner,"Irving, TX",10000+ Employees,1979,Company - Public,Business Consulting,Management & Consulting,$1 to $5 billion (USD)
Staff Data Scientist - Matching Science,USD 164K - USD 238K,4.2,Indeed,Remote,10000+ Employees,2004,Company - Private,Internet & Web Services,Information Technology,$1 to $5 billion (USD)
Data Engineer,,,"Zartico, Inc.",Remote,3.4,,,,,
Data Science Leader- TikTok Live,USD 201K - USD 395K,3.4,TikTok,"San Jose, CA",1001 to 5000 Employees,2016,Company - Private,Internet & Web Services,Information Technology,Unknown / Non-Applicable
Data Scientist,,4.0,Codoxo,United States,4.0,,,,,
Applied Meteorologist - Data Science,,2.9,AccuWeather Careers,Remote,2.9,,,,,
Technology Specialist - Data & AI,USD 38.89 - USD 77.98 Per Hour,4.3,Microsoft,United States,10000+ Employees,1975,Company - Public,Computer Hardware Development,Information Technology,$10+ billion (USD)
Data Integration Engineer (m/f/d),USD 90K - USD 123K ,4.1,Smart Steel Technologies GmbH,"Cincinnati, OH",1 to 50 Employees,2019,Company - Private,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable
Data Science Engineer,USD 95K - USD 132K ,3.2,Smart Energy Water,"Irvine, CA",1001 to 5000 Employees,2012,Company - Private,Software Development,Information Technology,$100 to $500 million (USD)
Data Scientist Promotional Writing (L5) - Content and Studio,USD 130K - USD 199K ,4.1,Netflix,"Los Gatos, CA",5001 to 10000 Employees,1997,Company - Public,Internet & Web Services,Information Technology,$5 to $10 billion (USD)
Data Analyst I,,3.8,iDeal Aluminum,United States,501 to 1000 Employees,1998,Company - Private,Consumer Product Manufacturing,Manufacturing,Unknown / Non-Applicable
Research Software Engineer - Data Science,USD 112K - USD 140K ,4.0,Dana-Farber Cancer Institute,"Boston, MA",1001 to 5000 Employees,1947,Nonprofit Organization,Health Care Services & Hospitals,Healthcare,$500 million to $1 billion (USD)
Data Science Analyst,USD 93K - USD 130K ,4.3,Banyan Data Services,"San Jose, CA",51 to 200 Employees,2018,Company - Private,Information Technology Support Services,Information Technology,Unknown / Non-Applicable
Customer Data Reporting Specialist,Identify potential risks and develop mitigation strategies. Present findings for both technical and non-techn,4.3,Cambium Learning Group,Remote,4.3,,,,,
Head of Growth Data Science,USD 141K - USD 217K ,4.1,Atlassian,"San Francisco, CA",5001 to 10000 Employees,2002,Company - Public,Software Development,Information Technology,Unknown / Non-Applicable
"Statistician, Data Science",USD 97K - USD 135K ,4.0,Dana-Farber Cancer Institute,"Boston, MA",1001 to 5000 Employees,1947,Nonprofit Organization,Health Care Services & Hospitals,Healthcare,$500 million to $1 billion (USD)
"Data Science and Analytics, Go-To-Market",USD 200K - USD 280K,,,"San Francisco, CA",Unknown,--,Company - Public,--,--,Unknown / Non-Applicable
"Manager 2, Data Science",USD 139K - USD 174K ,4.4,Intuit,"San Diego, CA",10000+ Employees,1983,Company - Public,Software Development,Information Technology,$10+ billion (USD)
Data Scientist,,4.2,Rockerbox,Remote,4.2,,,,,
"Project Manager, Data Science (Remote)",USD 80K - USD 120K,4.2,CrowdStrike,Remote,5001 to 10000 Employees,2011,Company - Public,Enterprise Software & Network Solutions,Information Technology,$500 million to $1 billion (USD)
Data Scientist – Marketing Analytics,USD 74K - USD 113K ,4.0,Universal Orlando Resort,"Orlando, FL",10000+ Employees,1987,Subsidiary or Business Segment,Hotels & Resorts,Hotels & Travel Accommodation,$1 to $5 billion (USD)
Data Science Technical Fellow,USD 214K - USD 310K,4.2,Indeed,Remote,10000+ Employees,2004,Company - Private,Internet & Web Services,Information Technology,$1 to $5 billion (USD)
Data Science Instructor,USD 119K - USD 129K,,,Remote,,,,,,
Data Scientist,USD 80K - USD 116K ,3.9,Jackson Lewis,"Houston, TX",1001 to 5000 Employees,1958,Company - Private,Legal,Legal,$100 to $500 million (USD)
Data Visualization Specialist,USD 71K - USD 82K,3.2,Buildertrend,"Omaha, NE",501 to 1000 Employees,2006,Company - Private,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable
Summer Co-op 2024 - Data Science,USD 30.00 Per Hour,3.4,Keurig Dr Pepper,"Burlington, MA",10000+ Employees,2018,Company - Public,Food & Beverage Manufacturing,Manufacturing,$10+ billion (USD)
"Data Engineering Manager, Data Science",USD 115K - USD 248K,4.4,Adobe,"San Francisco, CA",10000+ Employees,1982,Company - Public,Computer Hardware Development,Information Technology,$10+ billion (USD)
Data Engineer I / II/ III - Full Time,USD 75K - USD 107K ,3.4,NOMS Healthcare,"Amherst, OH",1 to 50 Employees,--,Unknown,--,--,Less than $1 million (USD)
Data Engineer,USD 50.00 - USD 65.00 Per Hour,3.2,FocusKPI Inc.,Remote,51 to 200 Employees,--,Company - Private,Advertising & Public Relations,Media & Communication,Less than $1 million (USD)
Data Engineer,USD 84K - USD 119K ,,,"Durham, NC",1 to 50 Employees,--,Company - Private,--,--,Unknown / Non-Applicable
Data Engineer,USD 150K,4.3,Pacaso,"San Francisco, CA",201 to 500 Employees,2020,Company - Private,Real Estate,Real Estate,$100 to $500 million (USD)
Data Science Technical Lead,USD 55.00 - USD 70.00 Per Hour,,,"Fulton, MD",,,,,,
Data Engineer,USD 74K - USD 106K ,3.7,AutoAlert,"Kansas City, MO",201 to 500 Employees,2002,Company - Private,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable
Data Engineer - Ontology,USD 86K - USD 137K ,,,"Durham, NC",1 to 50 Employees,--,Company - Private,--,--,Unknown / Non-Applicable
Data Analyst,USD 69K - USD 105K ,3.6,Amdex Corporation,"Rockville, MD",51 to 200 Employees,1987,Company - Private,Information Technology Support Services,Information Technology,$5 to $25 million (USD)
"Data Engineer, Americas",USD 120K - USD 131K,3.9,LVMH Perfumes & Cosmetics,"East Brunswick, NJ",10000+ Employees,1987,Company - Public,Beauty & Personal Accessories Stores,Retail & Wholesale,$10+ billion (USD)
Data Scientist,USD 70K - USD 120K,4.7,AstrumU,"Bellevue, WA",1 to 50 Employees,2017,Company - Private,Computer Hardware Development,Information Technology,Unknown / Non-Applicable
GenAI Data Scientist,USD 70.00 - USD 80.00 Per Hour,,,Remote,,,,,,
Power BI Data Analyst,USD 55.00 Per Hour,,,"Houston, TX",,,,,,
Senior Data Engineer (Remote),USD 100K - USD 129K ,,Match Made Tech,"Seattle, WA",1 to 50 Employees,--,Company - Private,--,--,Unknown / Non-Applicable
"Analyst, Data Science & Analytics",USD 82K - USD 94K,3.8,HR&A Advisors,"New York, NY",51 to 200 Employees,1976,Company - Private,Real Estate,Real Estate,$5 to $25 million (USD)
Capital Markets Quantitative Data Analyst,USD 94K - USD 135K ,3.4,FEDERAL HOME LOAN BANKS OFFICE OF FINANCE,"Reston, VA",51 to 200 Employees,--,Company - Private,Banking & Lending,Financial Services,$5 to $25 million (USD)
Data Analyst (BI and Data Science),,,,"Dallas, TX",,,,,,
BI Analyst,,4.2,Smartcar,Remote,4.2,,,,,
Data Analyst,USD 55K - USD 81K ,,Kiva Design,"Cincinnati, OH",1 to 50 Employees,1994,Company - Private,Architectural & Engineering Services,"Construction, Repair & Maintenance Services",$1 to $5 million (USD)
Data Analyst,USD 56K - USD 85K ,5.0,Paradigm Oral Health,"Lincoln, NE",201 to 500 Employees,--,Company - Public,--,--,Unknown / Non-Applicable
Data Scientist I,USD 80K - USD 92K,2.2,Vibrant Emotional Health,Remote,201 to 500 Employees,--,Nonprofit Organization,Civic & Social Services,Nonprofit & NGO,$5 to $25 million (USD)
Data Engineer,USD 80K - USD 95K,3.6,Embrace Pet Insurance,"Cleveland, OH",,,,,,
Data Analyst,USD 62K - USD 93K ,4.1,"Darwill, Inc.","Oakbrook Terrace, IL",201 to 500 Employees,1951,Company - Private,Advertising & Public Relations,Media & Communication,Unknown / Non-Applicable
Junior Data Scientist,USD 82K - USD 123K ,,Actfore,"Reston, VA",1 to 50 Employees,2022,Company - Private,Information Technology Support Services,Information Technology,$5 to $25 million (USD)
Data Engineer,USD 90K - USD 135K,,,Remote,,,,,,
Data Analyst - United States Virtual,,4.7,LMS365,Remote,4.7,,,,,
Data Science Writer,,3.1,DataCamp,Remote,3.1,,,,,
Platform Data Analyst,USD 75K - USD 90K,4.4,Reveleer,Remote,201 to 500 Employees,2009,Company - Private,Enterprise Software & Network Solutions,Information Technology,$25 to $100 million (USD)
Manufacturing Data Engineer,USD 90K - USD 116K ,3.6,EFFECT Photonics,"Maynard, MA",51 to 200 Employees,2010,Company - Private,Electronics Manufacturing,Manufacturing,Unknown / Non-Applicable
Data Engineer I - REMOTE,USD 68K - USD 97K,3.2,E Source,Remote,201 to 500 Employees,1987,Company - Private,Energy & Utilities,"Energy, Mining & Utilities",Unknown / Non-Applicable
Data Engineer - (Hybrid),USD 85K - USD 123K ,4.0,Cruise Planners,"Coral Springs, FL",51 to 200 Employees,1994,Company - Private,Travel Agencies,Hotels & Travel Accommodation,$5 to $25 million (USD)
Data Scientist I,USD 89K - USD 124K ,4.0,Axcelis Technologies Inc.,"Beverly, MA",501 to 1000 Employees,1995,Company - Public,Machinery Manufacturing,Manufacturing,$100 to $500 million (USD)
Data Scientist I - Hybrid,USD 79K - USD 112K,4.1,Radian,"New York, NY",1001 to 5000 Employees,1977,Company - Public,Insurance Carriers,Insurance,$1 to $5 billion (USD)
Data Engineer,"We’re actively creating turnkey behavioral data science products, and looking for a data engineer to own and drive data pipeline and integ",,Formotiv,Remote,,,,,,
Data Scientist 2,USD 94K - USD 183K,4.3,Microsoft,"Redmond, WA",10000+ Employees,1975,Company - Public,Computer Hardware Development,Information Technology,$10+ billion (USD)
Data Scientist,"Have time series forecasting, NLP and computer vision exp. Job Type: 6+ Months Contract to Hire. Must hav",4.7,CloudRay Inc,Indiana,4.7,,,,,
Data Scientist Analyst,USD 84K - USD 116K ,4.3,Mars,"Bentonville, AR",10000+ Employees,1911,Company - Private,Food & Beverage Manufacturing,Manufacturing,$10+ billion (USD)
Data Visualization Specialist,USD 73K - USD 111K ,4.3,Crunch.io,"San Francisco, CA",51 to 200 Employees,--,Company - Private,Internet & Web Services,Information Technology,Unknown / Non-Applicable
"Data Scientist, Field Analytics",USD 95K - USD 131K ,3.5,Domino's Corporate,"Ann Arbor, MI",10000+ Employees,1960,Company - Public,Restaurants & Cafes,Restaurants & Food Service,$1 to $5 billion (USD)
Data Insights Analyst,,4.3,Omni Federal,Remote,4.3,,,,,
"Data Engineer, Analytics",USD 97K - USD 134K,3.9,Meta,"Menlo Park, CA",10000+ Employees,2004,Company - Public,Internet & Web Services,Information Technology,$10+ billion (USD)
Data Engineer,USD 145K - USD 165K,,Pano AI,"San Francisco, CA",1 to 50 Employees,--,Company - Private,--,--,Unknown / Non-Applicable
Data Scientist,USD 76K - USD 109K ,3.4,"Servpro Industries, LLC","Gallatin, TN",201 to 500 Employees,1967,Company - Private,Building & Personnel Services,Management & Consulting,$1 to $5 billion (USD)
Data Scientist,USD 83K - USD 175K,3.2,CVS Health,"Boston, MA",10000+ Employees,1963,Company - Public,Health Care Services & Hospitals,Healthcare,$10+ billion (USD)
Data Analytics Analyst 2,Developing and working with reporting tools such as PowerBI to derive insights and forecasting. Proactively developing knowledge of the healthcar,3.9,IQVIA,Remote,3.9,,,,,
Data Scientist 1,USD 82K - USD 110K ,4.0,Pacific Northwest National Laboratory,"Richland, WA",5001 to 10000 Employees,1965,Company - Private,Energy & Utilities,"Energy, Mining & Utilities",$1 to $5 billion (USD)
Data Scientist,USD 110K - USD 130K,3.1,Extend,Remote,201 to 500 Employees,2019,Company - Private,Internet & Web Services,Information Technology,Unknown / Non-Applicable
Data Scientist,USD 68K - USD 102K ,4.5,IT Consulting Services,"Fairless Hills, PA",1 to 50 Employees,--,Company - Private,Accounting & Tax,Financial Services,$1 to $5 million (USD)
"Data Visualization Specialist, Data & Analytics",USD 70K - USD 95K ,4.0,Cresa,"Boston, MA",501 to 1000 Employees,1993,Company - Private,Real Estate,Real Estate,Unknown / Non-Applicable
Tableau Developer – People Analytics,USD 107K,3.7,"Zoom Video Communications, Inc.",Remote,1001 to 5000 Employees,2011,Company - Public,Information Technology Support Services,Information Technology,$1 to $5 billion (USD)
Data Scientist,USD 88K - USD 123K ,4.0,JPMorgan Chase & Co,"Plano, TX",10000+ Employees,1799,Company - Public,Banking & Lending,Financial Services,$10+ billion (USD)
Data Scientist,USD 100K - USD 176K,4.0,Parsons,Remote,10000+ Employees,1944,Company - Public,Information Technology Support Services,Information Technology,$1 to $5 billion (USD)
Data Scientist,USD 82K - USD 126K ,3.4,"7-Eleven, Inc.","Irving, TX",10000+ Employees,1927,Company - Private,Food & Beverage Stores,Retail & Wholesale,$1 to $5 billion (USD)
Data Scientist – Entry Level 2024,USD 83K - USD 125K,4.1,IBM,"San Francisco, CA",10000+ Employees,1911,Company - Public,Information Technology Support Services,Information Technology,$10+ billion (USD)
Data Analyst,USD 58K - USD 133K,4.2,boozallen,"Norfolk, VA",10000+ Employees,1914,Company - Public,Business Consulting,Management & Consulting,$5 to $10 billion (USD)
Data Analyst,"Strong written, verbal, and technical communication skills. Degree in Computer Science, Math, Statistics, Engineering, Economics, Information Sys",3.2,Podium,Remote,3.2,,,,,
"Data Scientist, Analytics - Tiktok",USD 144K - USD 240K,3.4,TikTok,"San Jose, CA",1001 to 5000 Employees,2016,Company - Private,Internet & Web Services,Information Technology,Unknown / Non-Applicable
"Senior Analyst, Data Science - Tableau Developer",USD 85K - USD 114K ,3.9,Whirlpool,"Benton Harbor, MI",10000+ Employees,1911,Company - Public,Consumer Product Manufacturing,Manufacturing,$10+ billion (USD)
Data Validation Analyst,USD 50K - USD 70K,4.2,Windfall,"San Francisco, CA",51 to 200 Employees,2016,Company - Private,Advertising & Public Relations,Media & Communication,Unknown / Non-Applicable
Data Analyst,"As a Data Analyst with expertise in Power BI, Data Analytics, and Basic Statistics at Complete Care Management Partners (CCMP), you will play a p",2.2,PCG INTERNATIONAL INC,United States,2.2,,,,,
Data Scientist,Conduct detailed failure analysis on large multimodal models • Prototype novel evaluation and benchmark methods from foundation model literat,4.2,Apple,"Cupertino, CA",4.2,,,,,
Data Engineer (Remote),"Technical leader of Engineering projects including design, technical scoping and implementation of data products and features. This is a full-ti",,,"Palatine, IL",,,,,,
Data Scientist I,USD 76K - USD 125K,3.9,TD Bank,"New York, NY",10000+ Employees,1855,Company - Public,Banking & Lending,Financial Services,$10+ billion (USD)
AI Data Scientist,USD 59K - USD 88K,4.0,Honda,"Marysville, OH",10000+ Employees,1948,Company - Public,Transportation Equipment Manufacturing,Manufacturing,Unknown / Non-Applicable
Data Scientist,USD 81K - USD 100K,5.0,Promethium IT Solution,Remote,1 to 50 Employees,--,Company - Private,Information Technology Support Services,Information Technology,Unknown / Non-Applicable
Data Visualization Specialist,USD 73K - USD 106K ,4.1,Accenture Federal Services,"Arlington, VA",10000+ Employees,1989,Subsidiary or Business Segment,Business Consulting,Management & Consulting,Unknown / Non-Applicable
Data Analyst,USD 52K - USD 77K ,5.0,Steck Systems,"Austin, TX",1 to 50 Employees,--,Company - Private,--,--,Unknown / Non-Applicable
Data Scientist,USD 104K - USD 159K ,4.2,Heineken,"Petaluma, CA",10000+ Employees,1864,Company - Private,Food & Beverage Manufacturing,Manufacturing,$10+ billion (USD)
Data Scientist,USD 113K - USD 174K,3.4,BlackLine,Remote,1001 to 5000 Employees,2001,Company - Public,Software Development,Information Technology,$500 million to $1 billion (USD)
Data Analyst/Engineer,USD 85K - USD 115K,4.1,Procter & Gamble,"Iowa City, IA",10000+ Employees,1837,Company - Public,Consumer Product Manufacturing,Manufacturing,$10+ billion (USD)
Data Engineer,Must be able to quickly understand technical and business requirements and be able to translate into technical implementation. Valuable on-th,3.3,U-Haul,Remote,3.3,,,,,
"Engineering Manager, Data Science",Provide technical mentorship to data scientists on the team and help decompose complex and ambiguous data science projects into incremen,4.3,SailPoint,Texas,4.3,,,,,
Data Scientist,USD 95K - USD 143K ,3.6,ASUS Computer International,"Tempe, AZ",10000+ Employees,1989,Company - Public,Computer Hardware Development,Information Technology,$10+ billion (USD)
Junior Data Scientist,Ability to perform root cause analysis on internal and external data and processes to answer specific business questions and identify opp,3.8,Oracle,United States,3.8,,,,,
Data Scientist,USD 80K - USD 90K,3.2,Deluxe,"New York, NY",5001 to 10000 Employees,1915,Company - Public,Financial Transaction Processing,Financial Services,$1 to $5 billion (USD)
Developer Advocate - Data Science,USD 140K - USD 276K,4.6,NVIDIA,"Santa Clara, CA",10000+ Employees,1993,Company - Public,Computer Hardware Development,Information Technology,$5 to $10 billion (USD)
"Manager, Data Science (Remote)",USD 130K - USD 205K,4.2,CrowdStrike,Remote,5001 to 10000 Employees,2011,Company - Public,Enterprise Software & Network Solutions,Information Technology,$500 million to $1 billion (USD)
"Data Visualization Specialist, Data & Analytics","Meet requirements of incoming requests from internal teams and clients, as it relates to data visualization efforts: Proficient in SQL and relati",,,"Boston, MA",,,,,,
Data Science Engineer,"This role is one part software engineering, one part data engineering, one part cloud engineering, and one part machine learning engineering ",4.0,GMR Marketing,Remote,4.0,,,,,
Data Scientist 2 - Remote,USD 85K - USD 167K,3.6,Optum,"Huntsville, AL",10000+ Employees,--,Company - Public,Health Care Services & Hospitals,Healthcare,$10+ billion (USD)
Research Data Scientist,USD 94K - USD 183K,4.3,Microsoft,"Redmond, WA",10000+ Employees,1975,Company - Public,Computer Hardware Development,Information Technology,$10+ billion (USD)
Data Analytics Engineer,USD 92K - USD 125K ,4.0,Targa Resources,"Houston, TX",1001 to 5000 Employees,2006,Company - Public,Energy & Utilities,"Energy, Mining & Utilities",$5 to $10 billion (USD)
Data Analyst I - Pricing,USD 53K - USD 83K ,3.7,Sheetz,"Pittsburgh, PA",10000+ Employees,1952,Company - Private,Convenience Stores,Retail & Wholesale,$5 to $10 billion (USD)
Data Scientist,USD 122K - USD 221K,3.8,Leidos,Remote,10000+ Employees,1969,Company - Public,Aerospace & Defense,Aerospace & Defense,$10+ billion (USD)
Data Specialist,USD 46K - USD 71K ,3.0,Hampton University,"Hampton, VA",1001 to 5000 Employees,1868,College / University,Colleges & Universities,Education,$100 to $500 million (USD)
Data Scientist,USD 80K,3.8,Procal Technologies,Remote,Unknown,--,Company - Private,Business Consulting,Management & Consulting,Unknown / Non-Applicable
Data Analyst & Visualizer - Entry Level,USD 57K - USD 71K,3.9,CannonDesign,"Chicago, IL",501 to 1000 Employees,1945,Company - Private,Architectural & Engineering Services,"Construction, Repair & Maintenance Services",$100 to $500 million (USD)
Data Visualization Analyst,USD 85K - USD 106K,3.9,Emerson College,"Boston, MA",201 to 500 Employees,1886,College / University,Colleges & Universities,Education,$100 to $500 million (USD)
"Manager, Data Science",USD 202K - USD 323K,3.7,GoodRx,"San Francisco, CA",201 to 500 Employees,2011,Company - Public,Biotech & Pharmaceuticals,Pharmaceutical & Biotechnology,Unknown / Non-Applicable
Data Scientist,USD 81K - USD 147K,3.8,Leidos,Remote,10000+ Employees,1969,Company - Public,Aerospace & Defense,Aerospace & Defense,$10+ billion (USD)
Data Scientist,"The ideal candidate will have experience using a variety of data mining/data analysis methods, and data tools, building and implementing models, ",3.8,Zelis,Massachusetts,3.8,,,,,
Data Science Leader- TikTok Live,USD 201K - USD 395K,3.4,TikTok,"San Jose, CA",1001 to 5000 Employees,2016,Company - Private,Internet & Web Services,Information Technology,Unknown / Non-Applicable
Data Science Fellow - Marketing,"Four (4) years work experience in data science, analytics, business, mathematics, economics, computer science, or other quantitative fields such ",3.9,FedEx Services,"Plano, TX",3.8,,,,,
Data & Insights Senior Analyst,USD 86K - USD 115K ,4.0,JPMorgan Chase & Co,"Columbus, OH",10000+ Employees,1799,Company - Public,Banking & Lending,Financial Services,$10+ billion (USD)
Data Insights Analyst,"Design and develop data models, data flows, and data integration processes to ensure accurate and efficient data collection, storage,",3.3,WellSense Health Plan,Remote,3.3,,,,,
"Senior Manager Data Science, Growth",USD 140K - USD 186K ,4.1,Atlassian,"San Francisco, CA",5001 to 10000 Employees,2002,Company - Public,Software Development,Information Technology,Unknown / Non-Applicable
Data Analyst,USD 76K - USD 95K,3.9,ZoomInfo Technologies LLC,"Vancouver, WA",1001 to 5000 Employees,2007,Company - Public,Software Development,Information Technology,$1 to $5 billion (USD)
Senior Data Scientist - Marketing Data Science,USD 135K - USD 177K ,4.1,Atlassian,"San Francisco, CA",5001 to 10000 Employees,2002,Company - Public,Software Development,Information Technology,Unknown / Non-Applicable
Head of Data and AI [Remote],,4.5,Quanata,Remote,4.5,,,,,
Data Science Co-Op,USD 97K - USD 143K ,3.9,Bayer,"Creve Coeur, MO",10000+ Employees,1863,Company - Public,Biotech & Pharmaceuticals,Pharmaceutical & Biotechnology,$10+ billion (USD)
Senior Data Scientist,USD 134K - USD 185K ,3.2,Spring Health,"New York, NY",501 to 1000 Employees,2016,Company - Private,Health Care Services & Hospitals,Healthcare,Unknown / Non-Applicable
Software Engineer 1 - Machine Learning,USD 103K - USD 146K ,5.0,Abacus.AI,"San Francisco, CA",51 to 200 Employees,2019,Company - Private,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable
Senior Data Science Manager,"Strong technical background in Data Science, Computer Science, Mathematics, Statistics or related field. We are a company with ambitious goals, a",3.8,Included Health,Remote,3.7,,,,,
Data Engineer Scientist,USD 85K - USD 115K,4.1,Procter & Gamble,"Mason, OH",10000+ Employees,1837,Company - Public,Consumer Product Manufacturing,Manufacturing,$10+ billion (USD)
